ClientId,AssetDate,Investment,ROI,Revenue,AssetType
10001,8/1/2023,231720,0.09,253015.07,Other assets
10001,10/1/2023,231902,0.1,254303.73,Other assets
10001,6/1/2023,208525,0.1,228522.55,Other assets
10001,9/1/2023,231720,0.08,250628.35,Other assets
10001,11/1/2023,253964,0.08,273570.02,Other assets
10001,12/1/2023,253964,0.08,273570.02,Other assets
10001,7/1/2023,208525,0.06,221161.62,Other assets
10001,5/1/2023,207146,0.08,223241.24,Other assets
10002,12/1/2023,130119,0.12,145095.7,Other assets
10002,11/1/2023,130119,0.11,144093.78,Other assets
10002,10/1/2023,130119,0.1,143078.85,Other assets
10002,9/1/2023,130119,0.08,140008.04,Other assets
10002,8/1/2023,130119,0.07,139474.56,Other assets
10002,5/1/2023,129081,0.07,137935.96,Other assets
10002,7/1/2023,130119,0.06,137783.01,Other assets
10002,6/1/2023,128425,0.05,135013.2,Other assets
10003,8/1/2023,314462,0.08,338203.88,Other assets
10003,10/1/2023,315164,0.07,336595.15,Other assets
10003,9/1/2023,314462,0.07,335813.97,Other assets
10003,11/1/2023,314970,0.07,336135.98,Other assets
10003,12/1/2023,314970,0.07,336135.98,Other assets
10003,6/1/2023,221071,0.08,239110.39,Other assets
10003,5/1/2023,221149,0.08,239128.41,Other assets
10003,7/1/2023,221416,0.08,239306.41,Other assets
10004,10/1/2023,225304,0.11,249929.73,Other assets
10004,11/1/2023,225304,0.09,245964.38,Other assets
10004,6/1/2023,225304,0.09,245558.83,Other assets
10004,12/1/2023,225304,0.08,244297.13,Other assets
10004,5/1/2023,225304,0.08,244049.29,Other assets
10004,8/1/2023,225304,0.06,238304.04,Other assets
10004,9/1/2023,225304,0.06,238011.15,Other assets
10004,7/1/2023,225304,0.05,237290.17,Other assets
10005,5/1/2023,344203,0.03,353186.7,Other assets
10005,6/1/2023,344203,-0.03,271017.5,Other assets
10006,7/1/2023,648406,0.24,806487.38,Other assets
10006,5/1/2023,706329,0.06,748638.11,Other assets
10006,6/1/2023,706329,0.06,748638.11,Other assets
10006,9/1/2023,698401,0.05,734089.29,Other assets
10006,11/1/2023,701173,0.06,740789.27,Other assets
10006,12/1/2023,701173,0.05,736231.65,Other assets
10006,10/1/2023,698401,0.04,725219.6,Other assets
10006,8/1/2023,784570,0.0,783236.23,Other assets
10005,7/1/2023,344203,-0.03,271201.39,Other assets
10005,8/1/2023,344203,-0.03,248584.89,Other assets
10005,9/1/2023,344203,0.03,243314.73,Other assets
10005,10/1/2023,344203,-0.03,229464.29,Other assets
10005,11/1/2023,344203,0.03,224293.31,Other assets
10005,12/1/2023,344203,-0.01,214407.0,Other assets
10001,7/1/2023,231654,0.05,244279.14,Cash assets
10001,7/1/2023,249460,0.51,375761.6,Equities asset
10001,7/1/2023,249460,0.05,262082.68,Taxable bond
10002,7/1/2023,126945,0.06,134612.48,Cash assets
10002,7/1/2023,126945,0.6,203594.39,Equities asset
10002,7/1/2023,126945,0.06,134612.48,Taxable bond
10003,7/1/2023,364892,0.05,382771.71,Cash assets
10003,7/1/2023,243674,0.73,422579.45,Equities asset
10003,7/1/2023,335669,0.05,353560.16,Taxable bond
10005,7/1/2023,47121,-0.37,14925.05,Cash assets
10005,7/1/2023,108375,-0.88,11770.68,Equities asset
10006,7/1/2023,895974,0.18,45678.0,Cash assets
10006,7/1/2023,1061368,1.49,59845.0,Equities asset
10006,7/1/2023,1032002,0.15,102456.0,Taxable bond
10005,7/1/2023,16016,-0.57,6784.38,Taxable bond
10005,5/1/2023,46812,0.19,55785.86,Cash assets
10005,5/1/2023,100416,0.89,190157.78,Equities asset
10005,5/1/2023,15662,0.57,24636.33,Taxable bond
10005,6/1/2023,46966,-0.17,38667.13,Cash assets
10005,6/1/2023,105299,-0.8,19784.29,Equities asset
10005,6/1/2023,15832,-0.51,7593.97,Taxable bond
10001,8/1/2023,231480,0.09,252776.16,Cash assets
10001,8/1/2023,249286,0.85,462275.96,Equities asset
10001,8/1/2023,249285,0.09,270573.94,Taxable bond
10001,10/1/2023,249186,0.09,271587.82,Cash assets
10001,10/1/2023,249186,0.9,473229.13,Equities asset
10001,10/1/2023,249186,0.09,271587.82,Taxable bond
10001,6/1/2023,231654,0.09,251645.74,Cash assets
10001,6/1/2023,249460,0.8,449402.19,Equities asset
10001,6/1/2023,249460,0.08,269441.75,Taxable bond
10001,9/1/2023,231480,0.08,250368.77,Cash assets
10001,9/1/2023,249286,0.76,438269.72,Equities asset
10001,9/1/2023,249285,0.08,268180.8,Taxable bond
10001,11/1/2023,249361,0.08,268960.77,Cash assets
10001,11/1/2023,204549,0.96,400629.67,Equities asset
10001,11/1/2023,249410,0.08,269013.63,Taxable bond
10001,12/1/2023,249361,0.08,268960.77,Cash assets
10001,12/1/2023,204549,0.96,400629.67,Equities asset
10001,12/1/2023,249410,0.08,269013.63,Taxable bond
10001,5/1/2023,308394,0.05,324492.17,Cash assets
10001,5/1/2023,250506,0.64,411531.26,Equities asset
10001,5/1/2023,250506,0.06,266613.54,Taxable bond
10002,12/1/2023,126945,0.12,141911.82,Cash assets
10002,12/1/2023,126945,1.18,276651.24,Equities asset
10002,12/1/2023,126945,0.12,141911.82,Taxable bond
10002,11/1/2023,126945,0.11,140921.64,Cash assets
10002,11/1/2023,126945,1.1,266736.83,Equities asset
10002,11/1/2023,126945,0.11,140921.64,Taxable bond
10002,10/1/2023,126945,0.1,139906.08,Cash assets
10002,10/1/2023,126945,1.02,256517.76,Equities asset
10002,10/1/2023,126945,0.1,139906.08,Taxable bond
10002,9/1/2023,126945,0.08,136834.02,Cash assets
10002,9/1/2023,126945,0.78,225860.54,Equities asset
10002,9/1/2023,126945,0.08,136834.02,Taxable bond
10002,8/1/2023,126945,0.07,136300.85,Cash assets
10002,8/1/2023,126945,0.74,220452.69,Equities asset
10002,8/1/2023,126945,0.07,136300.85,Taxable bond
10002,5/1/2023,129484,0.07,138340.71,Cash assets
10002,5/1/2023,129484,0.68,218089.9,Equities asset
10002,5/1/2023,129484,0.07,138340.71,Taxable bond
10002,6/1/2023,133724,0.05,140303.22,Cash assets
10002,6/1/2023,133724,0.49,199569.7,Equities asset
10002,6/1/2023,133724,0.05,140303.22,Taxable bond
10003,8/1/2023,310151,0.08,333908.57,Cash assets
10003,8/1/2023,241865,0.98,479303.87,Equities asset
10003,8/1/2023,333177,0.07,356932.52,Taxable bond
10003,10/1/2023,310561,0.07,331989.71,Cash assets
10003,10/1/2023,242275,0.88,456446.1,Equities asset
10003,10/1/2023,242275,0.09,263692.11,Taxable bond
10003,9/1/2023,310151,0.07,331489.39,Cash assets
10003,9/1/2023,241865,0.88,455310.86,Equities asset
10003,9/1/2023,333177,0.06,354533.65,Taxable bond
10003,11/1/2023,333661,0.06,354815.11,Cash assets
10003,11/1/2023,242613,0.87,454123.01,Equities asset
10003,11/1/2023,242613,0.09,263768.85,Taxable bond
10003,12/1/2023,333661,0.06,354815.11,Cash assets
10003,12/1/2023,242613,0.87,454123.01,Equities asset
10003,12/1/2023,242613,0.09,263768.85,Taxable bond
10003,6/1/2023,364577,0.05,382623.56,Cash assets
10003,6/1/2023,334407,0.54,514819.58,Equities asset
10003,6/1/2023,334407,0.05,352431.54,Taxable bond
10003,5/1/2023,364676,0.05,382654.53,Cash assets
10003,5/1/2023,334506,0.54,514269.52,Equities asset
10003,5/1/2023,311587,0.06,329565.57,Taxable bond
10005,8/1/2023,47277,-0.34,15805.13,Cash assets
10005,8/1/2023,106512,-0.8,19850.69,Equities asset
10005,8/1/2023,15979,-0.51,7596.45,Taxable bond
10005,9/1/2023,47433,0.31,31327.26,Cash assets
10005,9/1/2023,102549,0.73,174074.79,Equities asset
10005,9/1/2023,15690,0.47,23025.37,Taxable bond
10005,10/1/2023,47590,-0.27,17478.3,Cash assets
10005,10/1/2023,100843,-0.65,35589.78,Equities asset
10005,10/1/2023,15542,-0.41,9176.96,Taxable bond
10005,11/1/2023,47747,0.28,30895.11,Cash assets
10005,11/1/2023,99956,0.68,168592.09,Equities asset
10005,11/1/2023,15518,0.43,22484.22,Taxable bond
10005,12/1/2023,47904,-0.12,21303.27,Cash assets
10005,12/1/2023,98194,-0.28,72585.43,Equities asset
10005,12/1/2023,15457,-0.18,12884.1,Taxable bond
10006,5/1/2023,454797,0.09,497093.12,Cash assets
10006,5/1/2023,530491,0.8,953398.43,Equities asset
10006,5/1/2023,603284,0.07,645574.21,Taxable bond
10006,6/1/2023,454797,0.09,497093.12,Cash assets
10006,6/1/2023,530491,0.8,953398.43,Equities asset
10006,6/1/2023,603284,0.07,645574.21,Taxable bond
10006,9/1/2023,468539,0.08,504194.82,Cash assets
10006,9/1/2023,709627,0.5,504194.82,Equities asset
10006,9/1/2023,343837,0.1,379492.9,Taxable bond
10006,11/1/2023,541039,0.07,580643.05,Cash assets
10006,11/1/2023,706433,0.56,580643.05,Equities asset
10006,11/1/2023,342289,0.12,381926.07,Taxable bond
10006,12/1/2023,541039,0.06,576098.33,Cash assets
10006,12/1/2023,706433,0.5,576098.33,Equities asset
10006,12/1/2023,342289,0.1,377339.39,Taxable bond
10006,10/1/2023,468539,0.06,495339.43,Cash assets
10006,10/1/2023,709627,0.38,977511.19,Equities asset
10006,10/1/2023,343837,0.08,370621.9,Taxable bond
10006,8/1/2023,480134,0.0,478741.61,Cash assets
10006,8/1/2023,721222,-0.02,707518.78,Equities asset
10006,8/1/2023,624820,0.0,623445.4,Taxable bond
10004,10/1/2023,219809,0.11,244449.59,Cash assets
10004,10/1/2023,219809,1.12,466126.97,Equities asset
10004,10/1/2023,219809,0.11,244449.59,Taxable bond
10004,11/1/2023,219809,0.94,426297.57,Equities asset
10004,6/1/2023,219809,0.92,422406.96,Equities asset
10004,12/1/2023,219809,0.86,409767.94,Equities asset
10004,5/1/2023,219809,0.85,407372.02,Equities asset
10004,8/1/2023,219809,0.06,232821.69,Cash assets
10004,8/1/2023,219809,0.59,349869.99,Equities asset
10004,8/1/2023,219809,0.06,232821.69,Taxable bond
10004,9/1/2023,219809,0.06,232513.96,Cash assets
10004,9/1/2023,219809,0.58,346858.6,Equities asset
10004,9/1/2023,219809,0.06,232513.96,Taxable bond
10004,7/1/2023,219809,0.05,231810.57,Cash assets
10004,7/1/2023,219809,0.55,339780.75,Equities asset
10004,7/1/2023,219809,0.05,231810.57,Taxable bond
10004,11/1/2023,219809,0.09,240449.07,Cash assets
10004,11/1/2023,219809,0.09,240449.07,Taxable bond
10004,6/1/2023,219809,0.09,240075.39,Cash assets
10004,6/1/2023,219809,0.09,240075.39,Taxable bond
10004,12/1/2023,219809,0.09,238800.5,Cash assets
10004,12/1/2023,219809,0.09,238800.5,Taxable bond
10004,5/1/2023,219809,0.09,238558.71,Cash assets
10004,5/1/2023,219809,0.09,238558.71,Taxable bond